"","word","city"
"290","increasing","BOS"
"291","increasing","SFO"
"292","lower","BOS"
"293","lower","BOS"
"294","lower","BOS"
"295","lower","BOS"
"296","lower","BOS"
"297","lower","BOS"
"298","lower","BOS"
"299","lower","CLE"
"300","lower","CLE"
"301","lower","CLE"
"302","lower","DFW"
"303","lower","DFW"
"304","lower","DFW"
"305","lower","DFW"
"306","lower","MIA"
"307","lower","MIA"
"308","lows","BOS"
"309","lows","BOS"
"310","lows","BOS"
"311","lows","BOS"
"312","lows","BOS"
"313","lows","CLE"
"314","lows","CLE"
"315","lows","CLE"
"316","lows","CLE"
"317","lows","CLE"
"318","lows","CLE"
"319","lows","DFW"
"320","lows","DFW"
"321","lows","DFW"
"322","lows","DFW"
"323","lows","DFW"
"324","lows","DFW"
"325","lows","MIA"
"326","lows","MIA"
"327","lows","MIA"
"328","lows","MIA"
"329","lows","PDX"
"330","lows","PDX"
"331","lows","PDX"
"332","lows","PDX"
"333","lows","PDX"
"334","lows","PDX"
"335","lows","SFO"
"336","lows","SFO"
"337","lows","SFO"
"338","lows","SFO"
"339","lows","SFO"
"340","mid","BOS"
"341","mid","BOS"
"342","mid","BOS"
"343","mid","CLE"
"344","mid","CLE"
"345","mid","CLE"
"346","mid","CLE"
"347","mid","CLE"
"348","mid","DFW"
"349","mid","DFW"
"350","mid","DFW"
"351","mid","DFW"
"352","mid","MIA"
"353","mid","MIA"
"354","mid","MIA"
"355","mid","MIA"
"356","mid","PDX"
"357","mid","PDX"
"358","mid","SFO"
"359","mid","SFO"
"360","morning","BOS"
"361","morning","BOS"
"362","morning","DFW"
"363","morning","PDX"
"364","morning","PDX"
"365","morning","PDX"
"366","morning","PDX"
"367","morning","SFO"
"368","morning","SFO"
"369","mph","BOS"
"370","mph","BOS"
"371","mph","BOS"
"372","mph","BOS"
"373","mph","BOS"
"374","mph","BOS"
"375","mph","BOS"
"376","mph","BOS"
"377","mph","BOS"
"378","mph","BOS"
"379","mph","BOS"
"380","mph","CLE"
"381","mph","CLE"
"382","mph","CLE"
"383","mph","CLE"
"384","mph","CLE"
"385","mph","CLE"
"386","mph","CLE"
"387","mph","CLE"
"388","mph","DFW"
"389","mph","DFW"
"390","mph","DFW"
"391","mph","DFW"
"392","mph","DFW"
"393","mph","DFW"
"394","mph","MIA"
"395","mph","MIA"
"396","mph","MIA"
"397","mph","MIA"
"398","mph","MIA"
"399","mph","PDX"
"400","mph","PDX"
"401","mph","PDX"
"402","mph","PDX"
"403","mph","PDX"
"404","mph","PDX"
"405","mph","PDX"
"406","mph","SFO"
"407","mph","SFO"
"408","mph","SFO"
"409","mph","SFO"
"410","mph","SFO"
"411","mph","SFO"
"412","mph","SFO"
"413","mph","SFO"
"414","mph","SFO"
"415","partly","BOS"
"416","partly","BOS"
"417","partly","BOS"
"418","partly","BOS"
"419","partly","CLE"
"420","partly","CLE"
"421","partly","CLE"
"422","partly","CLE"
"423","partly","DFW"
"424","partly","DFW"
"425","partly","DFW"
"426","partly","DFW"
"427","partly","MIA"
"428","partly","MIA"
"429","partly","MIA"
"430","partly","MIA"
"431","partly","MIA"
"432","partly","PDX"
"433","partly","SFO"
"434","partly","SFO"
"435","partly","SFO"
"436","patchy","BOS"
"437","patchy","CLE"
"438","percent","BOS"
"439","percent","BOS"
"440","percent","BOS"
"441","percent","BOS"
"442","percent","BOS"
"443","percent","CLE"
"444","percent","CLE"
"445","percent","CLE"
"446","percent","DFW"
"447","percent","DFW"
"448","percent","MIA"
"449","percent","MIA"
"450","percent","MIA"
"451","percent","MIA"
"452","percent","PDX"
"453","percent","PDX"
"454","percent","PDX"
"455","percent","PDX"
"456","percent","PDX"
"457","percent","PDX"
"458","percent","PDX"
"459","percent","PDX"
"460","percent","PDX"
"461","percent","PDX"
"462","rain","BOS"
"463","rain","BOS"
"464","rain","BOS"
"465","rain","BOS"
"466","rain","BOS"
"467","rain","BOS"
"468","rain","BOS"
"469","rain","CLE"
"470","rain","CLE"
"471","rain","DFW"
"472","rain","DFW"
"473","rain","DFW"
"474","showers","BOS"
"475","showers","BOS"
"476","showers","BOS"
"477","showers","CLE"
"478","showers","CLE"
"479","showers","DFW"
"480","showers","MIA"
"481","showers","MIA"
"482","showers","MIA"
"483","showers","MIA"
"484","showers","PDX"
"485","showers","PDX"
"486","showers","PDX"
"487","showers","PDX"
"488","showers","PDX"
"489","showers","PDX"
"490","showers","PDX"
"491","showers","PDX"
"492","showers","PDX"
"493","showers","PDX"
"494","showers","PDX"
"495","showers","PDX"
"496","showers","PDX"
"497","showers","PDX"
"498","south","BOS"
"499","south","CLE"
"500","south","MIA"
"501","southeast","BOS"
"502","southeast","BOS"
"503","southwest","BOS"
"504","southwest","CLE"
"505","southwest","MIA"
"506","southwest","MIA"
"507","southwest","PDX"
"508","steady","BOS"
"509","steady","BOS"
"510","steady","DFW"
"511","sunny","BOS"
"512","sunny","BOS"
"513","sunny","BOS"
"514","sunny","CLE"
"515","sunny","CLE"
"516","sunny","CLE"
"517","sunny","CLE"
"518","sunny","CLE"
"519","sunny","CLE"
"520","sunny","DFW"
"521","sunny","DFW"
"522","sunny","DFW"
"523","sunny","DFW"
"524","sunny","DFW"
"525","sunny","MIA"
"526","sunny","MIA"
"527","sunny","MIA"
"528","sunny","MIA"
"529","sunny","MIA"
"530","sunny","PDX"
"531","sunny","PDX"
"532","sunny","SFO"
"533","sunny","SFO"
"534","temperature","BOS"
"535","temperature","BOS"
"536","upper","BOS"
"537","upper","BOS"
"538","upper","BOS"
"539","upper","CLE"
"540","upper","CLE"
"541","upper","CLE"
"542","upper","CLE"
"543","upper","DFW"
"544","upper","DFW"
"545","upper","DFW"
"546","upper","MIA"
"547","upper","MIA"
"548","upper","MIA"
"549","upper","PDX"
"550","upper","SFO"
"551","upper","SFO"
"552","upper","SFO"
"553","upper","SFO"
"554","west","BOS"
"555","west","BOS"
"556","west","MIA"
"557","west","MIA"
"558","west","SFO"
"559","west","SFO"
"560","west","SFO"
"561","west","SFO"
"562","winds","BOS"
"563","winds","BOS"
"564","winds","BOS"
"565","winds","BOS"
"566","winds","BOS"
"567","winds","CLE"
"568","winds","CLE"
"569","winds","CLE"
"570","winds","CLE"
"571","winds","CLE"
"572","winds","DFW"
"573","winds","DFW"
"574","winds","DFW"
"575","winds","DFW"
"576","winds","DFW"
"577","winds","MIA"
"578","winds","MIA"
"579","winds","MIA"
"580","winds","MIA"
"581","winds","MIA"
"582","winds","SFO"
"583","winds","SFO"
"584","winds","SFO"
"585","winds","SFO"
"586","winds","SFO"
"587","40","CLE"
"588","40","PDX"
"589","50","CLE"
"590","50","PDX"
"591","50","PDX"
"592","50","PDX"
"593","50","PDX"
"594","50","PDX"
"595","50","PDX"
"596","50","PDX"
"597","50","SFO"
"598","50","SFO"
"599","50","SFO"
"600","clearing","CLE"
"601","clearing","DFW"
"602","midnight","CLE"
"603","midnight","MIA"
"604","midnight","PDX"
"605","midnight","PDX"
"606","midnight","PDX"
"607","midnight","SFO"
"608","midnight","SFO"
"609","northeast","CLE"
"610","northeast","PDX"
"611","northwest","CLE"
"612","northwest","CLE"
"613","northwest","CLE"
"614","northwest","CLE"
"615","northwest","DFW"
"616","northwest","DFW"
"617","northwest","MIA"
"618","northwest","MIA"
"619","northwest","SFO"
"620","northwest","SFO"
"621","northwest","SFO"
"622","70","DFW"
"623","70","MIA"
"624","80","DFW"
"625","80","DFW"
"626","80","PDX"
"627","80","PDX"
"628","80s","DFW"
"629","80s","MIA"
"630","80s","MIA"
"631","80s","MIA"
"632","80s","MIA"
"633","80s","MIA"
