"","city","good","bad","delay"
"1","BOS",25,46,101.962433882066
"2","CLE",22,33,66.2500746391013
"3","DFW",27,30,45.0327755330615
"4","MIA",26,18,101.758646571029
"5","PDX",16,35,80.1229347732487
"6","SFO",24,17,63.4700530903157
